AccessionID,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
EU685787.1,Influenza A virus (A/Paris/1149/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1412,partial,France,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S.",10/1/2008,26/7/2008,ssRNA(-)
EU685788.1,Influenza A virus (A/Paris/1170/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1412,partial,France,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S.",13/1/2008,26/7/2008,ssRNA(-)
EU914901.1,Influenza A virus (A/Johannesburg/12/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1401,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",16/5/2008,10/8/2008,ssRNA(-)
EU914902.1,Influenza A virus (A/CapeTown/26/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1401,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",27/5/2008,10/8/2008,ssRNA(-)
EU914903.1,Influenza A virus (A/Johannesburg/21/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",3/6/2008,10/8/2008,ssRNA(-)
EU914904.1,Influenza A virus (A/Johannesburg/14/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",2008-05,10/8/2008,ssRNA(-)
EU914905.1,Influenza A virus (A/Johannesburg/33/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",6/6/2008,10/8/2008,ssRNA(-)
EU914906.1,Influenza A virus (A/Johannesburg/35/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",9/6/2008,10/8/2008,ssRNA(-)
EU914907.1,Influenza A virus (A/Johannesburg/36/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",10/6/2008,10/8/2008,ssRNA(-)
EU914908.1,Influenza A virus (A/Johannesburg/45/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,South Africa,South Africa,Homo sapiens,,"Besselaar,T.G., Naidoo,D., Buys,A., Gregory,V., McAnerney,J., Manamela,J.M., Blumberg,L., Schoub,B.D., Manamela,J.",11/6/2008,10/8/2008,ssRNA(-)
AB462370.1,Influenza A virus (A/Leiden/11693/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1395,partial,Netherlands,Netherlands,Homo sapiens,,"Gooskens,J., Jonges,M., Claas,E.C., Meijer,A., Kroes,A.C.",15/2/2008,3/10/2008,ssRNA(-)
AB462371.1,Influenza A virus (A/Leiden/12178/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1395,partial,Netherlands,Netherlands,Homo sapiens,,"Gooskens,J., Jonges,M., Claas,E.C., Meijer,A., Kroes,A.C.",18/2/2008,3/10/2008,ssRNA(-)
AB462372.1,Influenza A virus (A/Leiden/13892/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1395,partial,Netherlands,Netherlands,Homo sapiens,,"Gooskens,J., Jonges,M., Claas,E.C., Meijer,A., Kroes,A.C.",25/2/2008,3/10/2008,ssRNA(-)
FJ380948.1,Influenza A virus (A/Finland/11/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,Finland,Finland,Homo sapiens,,"Ikonen,N.",7/1/2008,21/10/2008,ssRNA(-)
FJ403548.1,Influenza A virus (A/Bucuresti/229/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1401,partial,,,Homo sapiens,,"Gregory,V.",21/1/2008,27/10/2008,ssRNA(-)
FJ403554.1,Influenza A virus (A/Athens/41/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",8/1/2008,27/10/2008,ssRNA(-)
FJ403556.1,Influenza A virus (A/Trieste/16/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",22/1/2008,27/10/2008,ssRNA(-)
FJ403557.1,Influenza A virus (A/Berlin/1/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1418,partial,Germany,Germany,Homo sapiens,,"Gregory,V.",10/1/2008,27/10/2008,ssRNA(-)
FJ403558.1,Influenza A virus (A/Lisbon/3/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1423,partial,,,Homo sapiens,,"Gregory,V.",2/1/2008,27/10/2008,ssRNA(-)
FJ403559.1,Influenza A virus (A/Ostrava/79/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",14/1/2008,27/10/2008,ssRNA(-)
FJ403560.1,Influenza A virus (A/Barcelona/00083/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1430,partial,,,Homo sapiens,,"Gregory,V.",3/1/2008,27/10/2008,ssRNA(-)
FJ403561.1,Influenza A virus (A/Kiev/313/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",12/2/2008,27/10/2008,ssRNA(-)
FJ403562.1,Influenza A virus (A/Belgium/G257/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Belgium,Belgium,Homo sapiens,,"Gregory,V.",6/1/2008,27/10/2008,ssRNA(-)
FJ403563.1,Influenza A virus (A/Slovenia/123/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Slovenia,Slovenia,Homo sapiens,,"Gregory,V.",10/1/2008,27/10/2008,ssRNA(-)
FJ403564.1,Influenza A virus (A/Hungary/13/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1398,partial,Hungary,Hungary,Homo sapiens,,"Gregory,V.",25/1/2008,27/10/2008,ssRNA(-)
FJ403565.1,Influenza A virus (A/Luxembourg/20/08(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Luxembourg,Luxembourg,Homo sapiens,,"Gregory,V.",2008,27/10/2008,ssRNA(-)
FJ403566.1,Influenza A virus (A/Bulgaria/155/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1398,partial,Bulgaria,Bulgaria,Homo sapiens,,"Gregory,V.",21/1/2008,27/10/2008,ssRNA(-)
FJ403568.1,Influenza A virus (A/Berlin/47/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1401,partial,Germany,Germany,Homo sapiens,,"Gregory,V.",3/3/2008,27/10/2008,ssRNA(-)
FJ403569.1,Influenza A virus (A/Latvia/1-938/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Latvia,Latvia,Homo sapiens,,"Gregory,V.",23/1/2008,27/10/2008,ssRNA(-)
FJ403571.1,Influenza A virus (A/Slovenia/131/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Slovenia,Slovenia,Homo sapiens,,"Gregory,V.",10/1/2008,27/10/2008,ssRNA(-)
FJ403572.1,Influenza A virus (A/Ireland/v1088/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Ireland,Ireland,Homo sapiens,,"Gregory,V.",2008,27/10/2008,ssRNA(-)
FJ403573.1,Influenza A virus (A/Zagreb/1982/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",2008,27/10/2008,ssRNA(-)
FJ403574.1,Influenza A virus (A/Geneva/9296/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1407,partial,,,Homo sapiens,,"Gregory,V.",13/2/2008,27/10/2008,ssRNA(-)
FJ403575.1,Influenza A virus (A/Parma/34/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,,,Homo sapiens,,"Gregory,V.",13/2/2008,27/10/2008,ssRNA(-)
FJ403576.1,Influenza A virus (A/Bucuresti/137/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1398,partial,,,Homo sapiens,,"Gregory,V.",14/1/2008,27/10/2008,ssRNA(-)
FJ403578.1,Influenza A virus (A/Kiev/245/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1404,partial,,,Homo sapiens,,"Gregory,V.",6/2/2008,27/10/2008,ssRNA(-)
FJ403579.1,Influenza A virus (A/Lisbon/15/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,,,Homo sapiens,,"Gregory,V.",31/1/2008,27/10/2008,ssRNA(-)
FJ403580.1,Influenza A virus (A/Austria/406109/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Austria,Austria,Homo sapiens,,"Gregory,V.",27/1/2008,27/10/2008,ssRNA(-)
FJ403581.1,Influenza A virus (A/Austria/403918/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Austria,Austria,Homo sapiens,,"Gregory,V.",17/1/2008,27/10/2008,ssRNA(-)
FJ403582.1,Influenza A virus (A/Luxembourg/116/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Luxembourg,Luxembourg,Homo sapiens,,"Gregory,V.",15/1/2008,27/10/2008,ssRNA(-)
FJ403588.1,Influenza A virus (A/Denmark/4/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,Denmark,Denmark,Homo sapiens,,"Gregory,V.",4/1/2008,27/10/2008,ssRNA(-)
FJ445020.1,Influenza A virus (A/Netherlands/159/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1364,partial,Netherlands,Netherlands,Homo sapiens,,"Meijer,A.",5/2/2008,17/11/2008,ssRNA(-)
FJ445029.1,Influenza A virus (A/England/26/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,United Kingdom,United Kingdom,Homo sapiens,,"Galiano,M.",9/1/2008,17/11/2008,ssRNA(-)
FJ549027.1,Influenza A virus (A/Florida/17/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Florida state,USA,Homo sapiens,,"Garten,R.",27/8/2008,22/12/2008,ssRNA(-)
FJ549035.1,Influenza A virus (A/Texas/17/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Texas state,USA,Homo sapiens,,"Garten,R.",4/11/2008,22/12/2008,ssRNA(-)
FJ549039.1,Influenza A virus (A/Pennsylvania/09/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Pennsylvania state,USA,Homo sapiens,,"Garten,R.",2/11/2008,22/12/2008,ssRNA(-)
FJ549042.1,Influenza A virus (A/Texas/18/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Texas state,USA,Homo sapiens,,"Garten,R.",6/11/2008,22/12/2008,ssRNA(-)
FJ549044.1,Influenza A virus (A/Hawaii/21/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Hawaii state,USA,Homo sapiens,,"Garten,R.",25/10/2008,22/12/2008,ssRNA(-)
FJ549046.1,Influenza A virus (A/Pennsylvania/08/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Pennsylvania state,USA,Homo sapiens,,"Garten,R.",13/10/2008,22/12/2008,ssRNA(-)
FJ549048.1,Influenza A virus (A/Pennsylvania/08/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Pennsylvania state,USA,Homo sapiens,,"Garten,R.",13/10/2008,22/12/2008,ssRNA(-)
FJ549050.1,Influenza A virus (A/Texas/15/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Texas state,USA,Homo sapiens,,"Garten,R.",26/10/2008,22/12/2008,ssRNA(-)
FJ549057.1,Influenza A virus (A/Hawaii/19/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Hawaii state,USA,Homo sapiens,,"Garten,R.",15/10/2008,22/12/2008,ssRNA(-)
FJ549059.1,Influenza A virus (A/Missouri/06/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Missouri state,USA,Homo sapiens,,"Garten,R.",27/8/2008,22/12/2008,ssRNA(-)
FJ549061.1,Influenza A virus (A/Texas/16/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Texas state,USA,Homo sapiens,,"Garten,R.",26/10/2008,22/12/2008,ssRNA(-)
FJ549067.1,Influenza A virus (A/Wisconsin/12/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA: Wisconsin state,USA,Homo sapiens,,"Garten,R.",3/11/2008,22/12/2008,ssRNA(-)
FJ264952.2,Influenza A virus (A/Denmark/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264953.1,Influenza A virus (A/Denmark/09/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264954.1,Influenza A virus (A/Denmark/13/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264955.1,Influenza A virus (A/Denmark/14/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264956.1,Influenza A virus (A/Denmark/15/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264957.1,Influenza A virus (A/Denmark/41/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264958.1,Influenza A virus (A/Denmark/46/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
FJ264959.1,Influenza A virus (A/Denmark/47/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1372,partial,Denmark,Denmark,Homo sapiens,,"Bragstad,K., Astrup,B.S., Jensen,T.G., Nielsen,L.P.",2008,9/1/2009,ssRNA(-)
