AccessionID,Lineage,Species,Genotype,Isolate,GenBank_Title,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
PX454588.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA655,"Dengue virus type 1 isolate MA655 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10562,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",11/11/2023,1/2/2026,ssRNA(+)
PX454589.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA683,"Dengue virus type 1 isolate MA683 polyprotein (POLY) gene, partial cds",9274,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",17/11/2023,1/2/2026,ssRNA(+)
PX454590.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA702,"Dengue virus type 1 isolate MA702 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10561,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",18/11/2023,1/2/2026,ssRNA(+)
PX454591.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA720,"Dengue virus type 1 isolate MA720 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",20/11/2023,1/2/2026,ssRNA(+)
PX454593.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA729,"Dengue virus type 1 isolate MA729 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10597,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",21/11/2023,1/2/2026,ssRNA(+)
PX454594.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA745,"Dengue virus type 1 isolate MA745 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",21/11/2023,1/2/2026,ssRNA(+)
PX454596.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA760,"Dengue virus type 1 isolate MA760 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",23/11/2023,1/2/2026,ssRNA(+)
PX454597.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA761,"Dengue virus type 1 isolate MA761 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10641,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",23/11/2023,1/2/2026,ssRNA(+)
PX454598.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA767,"Dengue virus type 1 isolate MA767 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10615,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",24/11/2023,1/2/2026,ssRNA(+)
PX454599.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA778,"Dengue virus type 1 isolate MA778 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10641,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",25/11/2023,1/2/2026,ssRNA(+)
PX454600.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA787,"Dengue virus type 1 isolate MA787 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10562,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",25/11/2023,1/2/2026,ssRNA(+)
PX454601.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA792,"Dengue virus type 1 isolate MA792 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10617,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",26/11/2023,1/2/2026,ssRNA(+)
PX454602.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA802,"Dengue virus type 1 isolate MA802 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10644,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",27/11/2023,1/2/2026,ssRNA(+)
PX454603.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA815,"Dengue virus type 1 isolate MA815 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10617,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",29/11/2023,1/2/2026,ssRNA(+)
PX454604.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA831,"Dengue virus type 1 isolate MA831 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10642,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",30/11/2023,1/2/2026,ssRNA(+)
PX454605.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA881,"Dengue virus type 1 isolate MA881 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10643,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",4/12/2023,1/2/2026,ssRNA(+)
PX454606.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA899,"Dengue virus type 1 isolate MA899 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10616,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",6/12/2023,1/2/2026,ssRNA(+)
PX454608.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1028,"Dengue virus type 1 isolate MA1028 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10641,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",19/12/2023,1/2/2026,ssRNA(+)
PX454609.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1400,"Dengue virus type 1 isolate MA1400 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10565,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",1/9/2023,1/2/2026,ssRNA(+)
PX454611.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1451,"Dengue virus type 1 isolate MA1451 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10641,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",10/10/2024,1/2/2026,ssRNA(+)
PX454612.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1452,"Dengue virus type 1 isolate MA1452 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10644,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",17/10/2024,1/2/2026,ssRNA(+)
PX454613.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1454,"Dengue virus type 1 isolate MA1454 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10643,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",30/10/2024,1/2/2026,ssRNA(+)
PX454614.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1460,"Dengue virus type 1 isolate MA1460 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10691,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",9/11/2024,1/2/2026,ssRNA(+)
PX454615.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1462,"Dengue virus type 1 isolate MA1462 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10644,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",13/11/2024,1/2/2026,ssRNA(+)
PX454616.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1466,"Dengue virus type 1 isolate MA1466 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10641,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",16/11/2024,1/2/2026,ssRNA(+)
PX454617.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1469,"Dengue virus type 1 isolate MA1469 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10662,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",20/11/2024,1/2/2026,ssRNA(+)
PX454618.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1470,"Dengue virus type 1 isolate MA1470 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",21/11/2024,1/2/2026,ssRNA(+)
PX454619.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1472,"Dengue virus type 1 isolate MA1472 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10642,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",26/11/2024,1/2/2026,ssRNA(+)
PX454620.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1473,"Dengue virus type 1 isolate MA1473 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10643,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",27/11/2024,1/2/2026,ssRNA(+)
PX454621.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1475,"Dengue virus type 1 isolate MA1475 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10561,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",4/12/2024,1/2/2026,ssRNA(+)
PX454622.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA1478,"Dengue virus type 1 isolate MA1478 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",12/12/2024,1/2/2026,ssRNA(+)
PX454623.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA16,"Dengue virus type 2 isolate MA16 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10661,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",11/11/2019,1/2/2026,ssRNA(+)
PX454624.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA663,"Dengue virus type 2 isolate MA663 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10550,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",16/11/2023,1/2/2026,ssRNA(+)
PX454625.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1468,"Dengue virus type 2 isolate MA1468 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",19/11/2024,1/2/2026,ssRNA(+)
PX454626.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1480,"Dengue virus type 2 isolate MA1480 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",27/9/2024,1/2/2026,ssRNA(+)
PX454627.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1485,"Dengue virus type 2 isolate MA1485 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",24/10/2024,1/2/2026,ssRNA(+)
PX454628.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1486,"Dengue virus type 2 isolate MA1486 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",26/10/2024,1/2/2026,ssRNA(+)
PX454629.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1487,"Dengue virus type 2 isolate MA1487 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",27/10/2024,1/2/2026,ssRNA(+)
PX454630.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1490,"Dengue virus type 2 isolate MA1490 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",30/10/2024,1/2/2026,ssRNA(+)
PX454631.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1492,"Dengue virus type 2 isolate MA1492 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",5/11/2024,1/2/2026,ssRNA(+)
PX454632.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1498,"Dengue virus type 2 isolate MA1498 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2024,1/2/2026,ssRNA(+)
PX454633.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1500,"Dengue virus type 2 isolate MA1500 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2024,1/2/2026,ssRNA(+)
PX454634.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1502,"Dengue virus type 2 isolate MA1502 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2024,1/2/2026,ssRNA(+)
PX454635.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1504,"Dengue virus type 2 isolate MA1504 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",8/11/2024,1/2/2026,ssRNA(+)
PX454636.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1511,"Dengue virus type 2 isolate MA1511 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",10/11/2024,1/2/2026,ssRNA(+)
PX454637.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1526,"Dengue virus type 2 isolate MA1526 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",14/11/2024,1/2/2026,ssRNA(+)
PX454638.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1532,"Dengue virus type 2 isolate MA1532 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",15/11/2024,1/2/2026,ssRNA(+)
PX454639.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1535,"Dengue virus type 2 isolate MA1535 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",15/11/2024,1/2/2026,ssRNA(+)
PX454640.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1541,"Dengue virus type 2 isolate MA1541 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",17/11/2024,1/2/2026,ssRNA(+)
PX454641.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1546,"Dengue virus type 2 isolate MA1546 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10663,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",16/11/2024,1/2/2026,ssRNA(+)
PX454642.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1549,"Dengue virus type 2 isolate MA1549 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",18/11/2024,1/2/2026,ssRNA(+)
PX454643.1,Dengue virus type 2,Orthoflavivirus denguei,2,MA1550,"Dengue virus type 2 isolate MA1550 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10666,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",19/11/2024,1/2/2026,ssRNA(+)
